freqs,times,roi,power,degree,coreness,efficiency
3.0,2,a8B,3.4285178,1.7642657,0.97472614,1.6674085
3.0,2,F6,4.5141263,1.2097036,1.2575066,0.8000678
3.0,2,a9/46D,3.3765874,0.51253664,-0.82742363,0.9759152
3.0,2,a8M,6.3635807,3.0055563,2.82565,3.578601
3.0,2,F7,4.607085,3.069863,2.4849877,2.334073
3.0,2,a8r,3.9897294,2.4840653,-0.22158088,1.8823265
3.0,2,a8L,7.7426424,5.954633,3.3625655,4.6422963
3.0,2,F2,4.122258,3.8567047,3.7448952,3.6436088
3.0,2,a44,2.2260406,2.0625033,2.3700235,1.4617928
3.0,2,F1,3.780559,4.6257105,3.774724,4.015645
3.0,2,a3,1.8037075,3.669004,2.818717,2.047005
3.0,2,a2,1.8111594,1.8134776,0.9927609,2.0303953
3.0,2,a1,-1.6874555,1.5997701,1.554598,1.623013
3.0,2,a7B,3.4622688,1.9413804,1.9634172,1.9889944
3.0,2,AIP,4.2366285,0.7697607,0.43951237,0.5027276
3.0,2,a5,5.963724,4.1650267,4.4806023,4.7636256
3.0,2,TPt,0.59589946,1.6440607,-0.6627967,1.3689282
3.0,2,a7A,5.794244,3.2936711,2.7463653,2.456484
3.0,2,V4t,6.775109,4.1100354,4.011364,4.4301205
3.0,2,DP,8.991489,6.229174,2.91106,4.6782217
3.0,2,MT,8.523054,5.2288194,3.352537,4.421871
3.0,2,V6A,3.4103851,1.1379128,1.7915198,-0.05271617
3.0,2,PIP,5.1370945,2.0766299,1.1200505,1.3320696
3.0,2,V2,19.151281,16.0416,13.168579,13.0276575
3.0,2,V1,26.17943,22.998762,21.217466,21.457062
3.0,2,LIP,8.49314,3.152901,1.7514702,1.88489
3.0,2,a24c,3.5924928,0.49323568,0.21556242,1.0520111
3.0,2,STPc,2.8754184,4.535117,2.074419,2.5675628
3.0,2,VIP,2.6609945,0.8723969,1.3068677,1.0880915
3.0,2,Thal,2.232039,1.0083607,1.1237315,0.98244464
3.0,2,MST,5.0844393,2.6051278,2.3237858,1.6668985
3.0,2,a46V,2.9558542,0.90844077,0.9399187,-1.4813477
3.0,2,Putamen,1.501327,1.0581585,0.43959156,0.42037803
3.0,2,Ins,1.9971516,0.08385722,1.4141668,-0.47798246
3.0,2,Caudate,4.150841,2.4548912,1.9591619,1.0859238
3.0,2,a7op,3.4879234,2.8987489,3.086089,2.7160323
3.0,2,MB,2.0652604,0.7366904,0.40690848,0.10690969
3.0,2,a32,1.6798394,-0.23366274,0.58344644,0.5906625
3.0,2,MIP,1.5659019,1.0095886,1.5655881,2.4396267
3.0,2,a13,1.3087463,-1.1405733,-0.9498394,-1.7499057
3.0,2,V4,4.2976413,1.0496559,0.44607884,1.2966851
3.0,2,V3,6.932579,2.2594833,1.7082928,2.1457906
3.0,2,a11,2.8503609,0.8844852,0.6473235,0.42261088
3.0,2,a45A,2.9732554,1.4848706,0.52919286,1.9117401
3.0,2,a24D,2.5307605,2.541497,2.1317399,1.7427409
3.0,3,a46D,2.3740969,-0.32775956,0.25520423,0.3571019
3.0,3,a8B,3.9173403,1.3853343,0.9265585,3.3987036
3.0,3,F6,1.0015997,0.11794241,0.96635914,1.2351352
3.0,3,a9/46D,1.4236039,0.8153412,0.07531511,0.81451184
3.0,3,a8M,4.8970585,1.4025707,-0.49186143,1.1909724
3.0,3,F7,0.80039096,0.7125651,1.1483182,0.84174657
3.0,3,a8r,2.556214,2.4883494,1.8677931,1.1626583
3.0,3,a8L,5.772089,2.9561965,3.5736427,3.2741761
3.0,3,F2,4.3932757,2.328017,1.981786,2.776291
3.0,3,a44,0.34418944,2.2584605,2.3291688,2.2177482
3.0,3,F1,2.3625784,2.604952,3.536971,1.8415313
3.0,3,a3,2.5479214,4.209081,3.5368352,3.111317
3.0,3,a2,0.20933408,1.6178298,1.7889929,2.3586328
3.0,3,a1,2.088984,3.5219567,3.9556427,2.954728
3.0,3,a7B,3.3516662,2.2093287,2.696529,1.2004932
3.0,3,AIP,1.6201183,0.9711642,0.909042,0.7587964
3.0,3,a5,3.7469163,1.4831494,2.1818151,0.34058145
3.0,3,TPt,2.424465,-0.82980376,0.43677115,-0.4116504
3.0,3,a7A,3.2638147,2.1698205,2.2526164,0.31368124
3.0,3,V4t,4.4247036,1.6975905,1.2012509,1.7996472
3.0,3,DP,8.870777,4.2189426,4.388375,3.606534
3.0,3,MT,8.789023,3.9307873,4.016748,4.630984
3.0,3,V6A,4.933829,1.4611309,1.5731496,1.234689
3.0,3,PIP,6.5971956,1.8440272,3.0895932,0.7114688
3.0,3,V2,11.405781,5.8687134,5.436735,6.6377115
3.0,3,V1,16.42786,9.631148,8.136152,11.121214
3.0,3,LIP,3.9130065,1.9605806,1.4364971,0.34141916
3.0,3,a24c,1.6020018,-0.055616837,-0.28746432,-0.5013791
3.0,3,STPc,4.9887176,1.2768509,1.4103546,2.1853077
3.0,3,VIP,1.8703148,1.5497802,0.92314297,0.97787136
3.0,3,Thal,2.4367034,-0.018220754,-0.7093662,-1.3228277
3.0,3,MST,3.4228292,-0.4542626,-0.034007788,0.41994113
3.0,3,a46V,1.5817412,-0.7550228,-0.41382894,-0.1008721
3.0,3,Putamen,1.0624664,-0.0070509906,-0.1851741,-0.61578494
3.0,3,Ins,2.1737702,-0.9860218,-1.5369934,-1.6378167
3.0,3,Caudate,1.1294055,0.40982497,-0.62694407,-2.8097212
3.0,3,a7op,0.41419855,0.29111135,1.2818738,1.7927947
3.0,3,MB,1.3874913,1.1299642,0.43968302,0.751972
3.0,3,a32,1.7063012,-0.16068971,-1.2678629,-0.9367516
3.0,3,MIP,2.568579,-2.478624,-2.1609428,-1.3373682
3.0,3,a13,1.4913872,1.5063441,2.430294,0.95174474
3.0,3,V4,3.2518404,-0.10601569,-0.21192499,-0.6550576
3.0,3,V3,6.819514,2.6763823,1.4424411,3.2046838
3.0,3,a11,1.3856322,-0.6962554,0.3055002,0.57776815
3.0,3,a45A,1.5081291,2.129598,2.0745287,1.1018648
3.0,3,a24D,-2.0821686,-1.3729781,-0.9738156,-0.5939948
3.0,4,a46D,2.935862,1.6178242,1.9607996,0.5577431
3.0,4,a8B,5.3689017,4.0036445,4.0761566,4.176304
3.0,4,F6,1.7408117,2.8184543,2.7480633,2.172429
3.0,4,a9/46D,3.6316006,3.2492976,2.5945785,2.3935125
3.0,4,a8M,4.230935,2.2202291,2.5092723,1.8929121
3.0,4,F7,6.832824,6.363676,6.674785,4.1786184
3.0,4,a8r,3.9574304,2.805354,2.9942155,1.4535198
3.0,4,a8L,6.9952025,4.3660793,4.425775,4.0108886
3.0,4,F2,10.920257,8.594115,8.351239,6.3277826
3.0,4,a44,4.4265375,3.0226903,2.8528972,2.0940695
3.0,4,F1,4.6925077,5.720826,6.792065,4.332427
3.0,4,a3,3.2248075,1.2091956,0.95359135,1.665752
3.0,4,a2,1.0120982,1.8587472,1.1365899,1.8379477
3.0,4,a1,2.1953578,0.018010698,0.6020348,1.3855006
3.0,4,a7B,3.6839857,3.4797337,3.8794143,2.579808
3.0,4,AIP,2.7180283,2.0236156,2.3946047,1.5667897
3.0,4,a5,4.0798593,4.877579,5.094666,3.2740753
3.0,4,TPt,1.4099599,1.841518,1.2927225,1.7702129
3.0,4,a7A,2.0797517,1.9642367,2.948276,1.4856353
3.0,4,V4t,2.9156623,1.181999,1.6581134,1.3144238
3.0,4,DP,5.3067937,5.1813436,4.641517,3.9310532
3.0,4,MT,5.760695,5.779604,5.6219087,3.386834
3.0,4,V6A,2.4846647,3.848412,3.2544503,3.6096513
3.0,4,PIP,2.5413704,2.5914383,2.284319,1.7390928
3.0,4,V2,11.474845,9.250645,8.514469,9.245128
3.0,4,V1,14.761291,11.6875105,9.176836,10.815288
3.0,4,LIP,3.3014061,4.8462486,5.0117774,3.859492
3.0,4,a24c,2.9644964,1.424414,2.0492485,-0.9565171
3.0,4,STPc,2.6086264,0.91602474,0.14736556,-0.06748158
3.0,4,VIP,2.0055516,0.65422016,0.7762815,0.13805698
3.0,4,Thal,3.8804069,2.4030063,2.069931,1.0579805
3.0,4,MST,1.4179504,2.1422856,2.5623667,1.5887011
3.0,4,a46V,3.0455642,2.7543626,2.0347137,1.8074821
3.0,4,Putamen,1.3477256,2.2866106,2.4727926,1.7100239
3.0,4,Ins,0.6754315,1.220596,0.7725725,1.5716524
3.0,4,Caudate,2.3801284,1.0381246,0.8300508,0.9289567
3.0,4,a7op,1.6695998,-0.23624855,1.3864648,-0.67487705
3.0,4,MB,2.9974267,2.1325715,2.6621454,1.4262015
3.0,4,a32,2.427423,-0.8519025,0.010397721,0.049219854
3.0,4,MIP,1.6015054,1.4801762,1.5735595,-0.8120771
3.0,4,a13,-0.6861427,-0.122971356,0.30435526,-0.5076464
3.0,4,V4,0.6359431,1.0810171,0.6119855,1.1213825
3.0,4,V3,4.084026,3.651284,3.0457141,3.6142018
3.0,4,a11,1.5276738,0.3943595,0.038801294,0.5968303
3.0,4,a45A,4.5000987,1.7029296,1.6376165,1.8840296
3.0,4,a24D,1.5301313,0.93749183,0.5520508,0.8207132
11.0,0,a46D,-0.60745215,-0.445264,-1.4804989,-0.7885104
11.0,0,a8B,-0.7959398,-1.4795897,0.103236295,-0.766546
11.0,0,F6,2.7849677,2.3746321,1.5810145,2.3907888
11.0,0,a9/46D,-1.5039505,-0.0023197029,-0.64277875,-0.12745535
11.0,0,a8M,-0.29643425,0.8662794,1.5365008,1.2409257
11.0,0,F7,0.5444487,0.10676267,-0.5835736,0.40973654
11.0,0,a8r,-0.97532094,2.7181404,1.6629232,2.1889791
11.0,0,a8L,0.26433352,-0.6152534,-0.43183303,-0.4982135
11.0,0,F2,-0.048686195,-0.7777017,0.56283474,0.063651115
11.0,0,a44,-3.1345282,-1.1891979,-1.215323,-0.077402845
11.0,0,F1,-0.5256574,-2.2189867,-0.84769374,-1.5252942
11.0,0,a3,0.23523243,0.19249532,0.012198456,1.1249582
11.0,0,a2,-0.34725514,-0.9025488,0.5081481,0.8559057
11.0,0,a1,-0.6494895,-0.09173207,-0.61498225,1.1559786
11.0,0,a7B,-0.4727802,0.034488298,0.8822844,-0.13125058
11.0,0,AIP,-0.36795533,-0.6826578,-0.7000325,-0.87085575
11.0,0,a5,1.0911901,-1.7151269,-1.0631031,-0.82446545
11.0,0,TPt,-0.26216695,1.3406588,1.3748822,1.7330143
11.0,0,a7A,-2.135797,1.0376437,-0.030971207,0.46439233
11.0,0,V4t,-0.4509837,1.507294,0.6285393,0.16414651
11.0,0,DP,0.40104544,-0.5895837,-0.4306308,0.39066952
11.0,0,MT,0.12756984,0.27150467,1.5534747,-1.170021
11.0,0,V6A,0.3105264,1.5495256,-0.002865031,1.0887201
11.0,0,PIP,1.5408825,-2.9981422,-1.8149482,-1.9451165
11.0,0,V2,0.45106173,0.40780327,0.76081234,-0.17469248
